id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_destroyed,houses_destroyed_description,houses_damaged,houses_damaged_description,total_deaths,total_deaths_description,total_missing,total_missing_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description,total_houses_destroyed,total_houses_destroyed_description,total_houses_damaged,total_houses_damaged_description
10005,,2013,7,2,7.0,37.0,2.6,13.0,6.1,6.1,6.2,5.9,,,,,INDONESIA,,INDONESIA:  BANDA ACEH,4.645,96.665,60,42.0,1.0,,,2500.0,4.0,,3.0,20401.0,4.0,,,42.0,1.0,6.0,1.0,2500.0,4.0,,3.0,20401.0,4.0,,
10343,,2015,11,4,3.0,44.0,19.0,20.0,6.5,6.5,,,,,,5.0,INDONESIA,,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875,60,,,,,,,9.0,3.0,,,1468.0,4.0,,,,,,,9.0,3.0,,,1468.0,4.0
10349,,2018,7,28,22.0,47.0,37.0,6.0,6.4,6.4,,,,,,,INDONESIA,,INDONESIA:  LOMBOK ISLAND,-8.274,116.491,60,17.0,1.0,,,355.0,3.0,,3.0,5448.0,4.0,,3.0,17.0,1.0,,,355.0,3.0,,3.0,5448.0,4.0,,3.0
10198,,2016,9,11,13.0,10.0,7.0,13.0,5.1,5.1,,,,,,6.0,MACEDONIA,,BALKANS NW:  MACEDONIA,42.008,21.488,130,,,,,30.0,1.0,10.0,3.0,,,,1.0,,,,,30.0,1.0,10.0,3.0,,,,1.0
5569,,2000,7,6,19.0,30.0,20.3,33.0,5.4,5.4,5.1,5.0,,,,,NICARAGUA,,NICARAGUA:  MASAYA,11.884,-85.988,100,7.0,1.0,,,42.0,1.0,,3.0,357.0,3.0,1130.0,4.0,7.0,1.0,,,42.0,1.0,,3.0,357.0,3.0,1130.0,4.0
9894,,2012,5,7,4.0,40.0,27.7,11.0,5.7,5.7,5.7,5.7,,,,,AZERBAIJAN,,AZERBAIJAN:  ZAGATALA,41.549,46.789,40,,,,,50.0,1.0,,3.0,3100.0,4.0,,1.0,,,,,50.0,1.0,,3.0,3100.0,4.0,,1.0
5812,,2004,11,20,8.0,7.0,22.0,16.0,6.4,6.4,6.3,6.2,,,,,COSTA RICA,,"COSTA RICA:  SAN JOSE, PARRITA, QUEPOS",9.602,-84.172,100,8.0,1.0,,,,2.0,,3.0,526.0,3.0,,,8.0,1.0,,,,2.0,,3.0,526.0,3.0,,
8210,,2009,1,8,19.0,21.0,35.6,14.0,6.1,6.1,6.0,5.7,,,,,COSTA RICA,,COSTA RICA:  LA PAZ,10.165,-84.197,100,23.0,1.0,17.0,1.0,100.0,2.0,,3.0,518.0,3.0,,,23.0,1.0,17.0,1.0,100.0,2.0,,3.0,518.0,3.0,,
7745,,2008,1,1,6.0,32.0,27.9,6.0,5.6,5.6,5.4,5.8,,,,,KYRGYZSTAN,,KYRGYZSTAN:  OSH,40.288,72.985,40,,,,,,,,3.0,5385.0,4.0,,,,,,,,,,3.0,5385.0,4.0,,
5624,,2002,3,3,12.0,8.0,19.7,226.0,7.4,7.4,,6.6,,,,,AFGHANISTAN,,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,40,166.0,3.0,,,,2.0,,3.0,300.0,3.0,300.0,3.0,166.0,3.0,,,,2.0,,3.0,300.0,3.0,400.0,3.0
